Source	Target	Type	Id	Weight
1	9380	Directed	1	1.0
9380	9382	Directed	2	1.0
9382	9384	Directed	3	1.0
9384	9385	Directed	4	1.0
9385	9386	Directed	5	1.0
9386	9387	Directed	6	1.0
9386	9389	Directed	7	1.0
9386	9391	Directed	8	1.0
9386	9392	Directed	9	1.0
9385	9393	Directed	10	1.0
9393	9394	Directed	11	1.0
9393	9396	Directed	12	1.0
9393	9398	Directed	13	1.0
9385	9400	Directed	14	1.0
9400	9401	Directed	15	1.0
9400	9403	Directed	16	1.0
9400	9405	Directed	17	1.0
9385	9407	Directed	18	1.0
9407	9408	Directed	19	1.0
9407	9410	Directed	20	1.0
9407	9411	Directed	21	1.0
9385	9413	Directed	22	1.0
9413	9414	Directed	23	1.0
9413	9416	Directed	24	1.0
9384	9418	Directed	25	1.0
9418	9419	Directed	26	1.0
9419	9420	Directed	27	1.0
9419	9422	Directed	28	1.0
9418	9424	Directed	29	1.0
9424	9425	Directed	30	1.0
9424	9426	Directed	31	1.0
9424	9427	Directed	32	1.0
9418	9428	Directed	33	1.0
9382	9429	Directed	34	1.0
9429	9430	Directed	35	1.0
9430	9431	Directed	36	1.0
9431	9432	Directed	37	1.0
9431	9434	Directed	38	1.0
9430	9435	Directed	39	1.0
9435	9436	Directed	40	1.0
9435	9438	Directed	41	1.0
9435	9439	Directed	42	1.0
9430	9440	Directed	43	1.0
9430	9441	Directed	44	1.0
9430	9443	Directed	45	1.0
9429	9444	Directed	46	1.0
9444	9446	Directed	47	1.0
9444	9447	Directed	48	1.0
9444	9449	Directed	49	1.0
9429	9451	Directed	50	1.0
9451	9452	Directed	51	1.0
9452	9453	Directed	52	1.0
9452	9454	Directed	53	1.0
9451	9455	Directed	54	1.0
9451	9456	Directed	55	1.0
9451	9457	Directed	56	1.0
9380	9459	Directed	57	1.0
9459	9461	Directed	58	1.0
9461	9462	Directed	59	1.0
9462	9463	Directed	60	1.0
9463	9464	Directed	61	1.0
9464	9465	Directed	62	1.0
9464	9466	Directed	63	1.0
9464	9467	Directed	64	1.0
9463	9468	Directed	65	1.0
9468	9469	Directed	66	1.0
9468	9471	Directed	67	1.0
9468	9473	Directed	68	1.0
9462	9475	Directed	69	1.0
9475	9476	Directed	70	1.0
9476	9477	Directed	71	1.0
9476	9478	Directed	72	1.0
9475	9479	Directed	73	1.0
9475	9480	Directed	74	1.0
9480	9481	Directed	75	1.0
9480	9482	Directed	76	1.0
9480	9484	Directed	77	1.0
9475	9486	Directed	78	1.0
9486	9487	Directed	79	1.0
9486	9488	Directed	80	1.0
9486	9489	Directed	81	1.0
9486	9490	Directed	82	1.0
9486	9491	Directed	83	1.0
9486	9492	Directed	84	1.0
9475	9494	Directed	85	1.0
9494	9495	Directed	86	1.0
9494	9496	Directed	87	1.0
9494	9497	Directed	88	1.0
9494	9498	Directed	89	1.0
9462	9499	Directed	90	1.0
9499	9500	Directed	91	1.0
